name,Cuisine_type,protein,carbohydrate,total_fat,Estimated_Weight(g),calories
Toasted Paprika Chickpeas,mediterranean,38.41,125.16,36.43,200,982.15
Healthy Broccoli and Cheese Soup,american,77.59,113.14,9.27,200,846.35
Garlic Mashed Cauliflower,mediterranean,31.56,89.24,79.2,200,1196
Cauliflower Steaks with Olive Salsa and Roasted Tomato Sauce,american,31.28,129.27,39.45,200,997.25
Zucchini Cannelloni with Cashew sauce,italian,54.44,101.92,43.64,200,1018.2
Summertime Lentil Salad With Mango,indian,35.91,121.82,42.26,200,1011.26
Cook the Book: Garlicky Mushrooms and Kale,american,58.78,119.3,21.92,200,909.6
My children love beet salad!,american,25.44,114.48,60.09,200,1100.49
Sautéed Spinach,french,64.16,87.11,48.74,200,1043.74
Broccoli Slaw w/ Mustard Vinaigrette,american,29.62,131.38,38.99,200,994.91
Pesto Stuffed Mushrooms,italian,36.69,91.88,71.43,200,1157.15
West Indian spiced aubergine curry,indian,23.41,144.54,32.05,200,960.25
Asian Bulgur Wheat Salad,chinese,27.15,133.43,39.43,200,997.19
Cauliflower Cilantro Salad Recipe,mediterranean,23.25,88.11,88.64,200,1243.2
"Spicy, Peanutty Udon with Kale",american,42.45,111.75,45.8,200,1029
Satay noodle soup,asian,25.38,101.12,73.49,200,1167.41
"Tempeh ""Chicken"" Salad",american,71.71,63.55,64.75,200,1123.79
Curried Cauliflower Soup with Roasted Tomatoes,american,29.45,101.45,69.1,200,1145.5
Japanese Tabbouleh with Cilantro & Tofu,asian,92.47,39.59,67.94,200,1139.7
West Coast Avocado Toast,american,38.5,107.56,53.93,200,1069.61
Charred Green Beans with Mustard Vinaigrette & Hazelnuts,american,24.1,66.97,108.93,200,1344.65
My children love beet salad!,american,24.72,113.77,61.51,200,1107.55
Cider & Honey Kohlrabi Slaw with Radicchio,chinese,14.65,122.98,62.37,200,1111.85
Tofu Jerky,asian,102.13,41.83,56.04,200,1080.2
Roasted Vegetable & Black Bean Tacos,mexican,27.16,132.65,40.19,200,1000.95
"Crispy Potato, Onion, and Mushroom Rösti Recipe",french,15.69,99.65,84.66,200,1223.3
Quinoa Chickpea Salad with Roasted Red Pepper Hummus Dressing,mediterranean,42.53,142.22,15.24,200,876.16
Creamy Matcha White Chocolate Pudding,british,18.56,114.78,66.66,200,1133.3
General Tso's Cauliflower,chinese,38.52,85.33,76.14,200,1180.66
Savory Tempeh Crumbles,american,85.18,48.46,66.36,200,1131.8
Roasted Cauliflower with Tahini and Goji Berries Recipe,mediterranean,32.27,98.76,68.96,200,1144.76
Thai Zucchini-Coconut Soup,south east asian,19.62,104.52,75.86,200,1179.3
Spice-crusted tofu with kumquat radish salad,asian,57.52,77.24,65.24,200,1126.2
Gobhi Mussallam,indian,47.45,79.51,73.04,200,1165.2
Beans and Mushrooms,american,23.96,110.98,65.06,200,1125.3
Feta Stuffed Eggplant Polpetti,mediterranean,31.9,135.56,32.53,200,962.61
Stir-Fried Broccoli and Shiitake Mushrooms with Oyster Sauce,mediterranean,38.89,108.1,53,200,1064.96
Stir-Fried Garlic Eggplant with Ground Pork Recipe,south east asian,41.9,60.4,97.7,200,1288.5
Fresh Tomato Soup,italian,18.98,101.64,79.38,200,1196.9
Raw Harvest Kale Salad,american,16.76,121.22,62.02,200,1110.1
Basic Chili Paste to Replace Chili Powder Recipe,american,78.93,87.98,33.09,200,965.45
"Avocado with Pomegranate Molasses, Tomatoes, Citrus, and Basil",american,18.34,90.79,90.87,200,1254.35
Asian-style Cabbage Slaw w/Tofu and Crunchy Ramen,japanese,40.48,110.15,49.37,200,1046.85
"Carrot, Ginger, and Basil Soup Recipe",american,60.68,108.01,31.31,200,956.55
Radishes With Avocado Dip From 'The VB6 Cookbook',american,29.64,106.78,63.59,200,1117.99
Sichuan-Style Braised Eggplant With Pickled Chilies and Garlic (Yu Xiang Qie Zi) Recipe,chinese,20.15,114.39,65.46,200,1127.3
Saag Paneer,indian,80.81,86.64,32.55,200,962.75
Vegan Thanksgiving Sandwich,american,68.82,83.34,47.84,200,1039.2
Vegan BLT,american,38.29,82.23,79.48,200,1197.4
VEGAN COLESLAW,american,27.82,72.75,99.43,200,1297.15
Vegan Eggnog,american,30.96,152.35,16.69,200,883.45
Vegan Eggplant Lasagna,american,55.13,112.11,32.77,200,963.89
Mushroom Stroganoff {Vegan},american,29.73,64.2,106.07,200,1330.35
Vegan Jalapeno Poppers,american,24,105.2,70.8,200,1154
Easy Vegan Artichoke Dip,mediterranean,25.94,49.48,124.58,200,1422.9
Vegan Creamed Spinach,american,54.78,86.74,58.48,200,1092.4
Vegan Aioli,american,29.8,59.49,110.71,200,1353.55
Vegan “Egg” Mayo,american,75.81,25.3,98.88,200,1294.36
"Vegan Sausage, Kale, Dijon & Sesame Ba",american,54.22,107.87,37.91,200,989.55
Vegan Kale Caesar Salad,american,60.91,105.66,33.43,200,967.15
Vegan French Onion Dip,american,38.48,104.63,56.89,200,1084.45
Vegan BLT Sandwich,american,40.32,62.04,97.64,200,1288.2
Ultimate Loaded Grilled Vegan BLT,american,46.56,92.7,60.74,200,1103.7
Vegan Coleslaw,american,21.45,81.68,96.86,200,1284.26
Vegan Spinach Pinwheels recipes,american,54.42,72.36,73.22,200,1166.1
Vegan Spinach Pinwheels recipes,american,54.42,72.36,73.22,200,1166.1
"YOGURT RICE, REINVENTED THE KETO WAY!",mediterranean,50.7,83.06,66.24,200,1131.2
Cauliflower Rice Recipe,south east asian,33.99,97.79,68.22,200,1141.1
Pesto Shrimp Skewers,italian,71.83,50.58,77.59,200,1187.95
Celery Leaf & Fennel Poached Salmon,nordic,87.42,46.53,66.06,200,1130.34
Keto Cloud Bread,american,69.12,30.55,100.33,200,1301.65
Best-Ever Keto Tortillas,mexican,49.47,61.27,89.27,200,1246.39
Vegetarian Keto Burgers recipes,american,45.84,71.34,82.82,200,1214.1
Keto Crepes recipes,french,58.58,55.44,85.98,200,1229.9
Keto Pepper Steak,american,105.63,45.72,48.64,200,1043.16
Air Fried Keto Thai Chili Cauliflower Bites,american,34.22,77.26,88.52,200,1242.6
Easy Keto Berry Side Salad,american,53.23,60.52,86.26,200,1231.34
Coffee Rubbed Steak (Paleo + Keto),american,126.24,23.49,50.27,200,1051.35
"Keto and Gluten-Free Spinach, Feta, and Tomato Wraps for Two",mediterranean,65.21,52.1,82.68,200,1213.36
"One Pan Mediterranean Chicken Skillet (Paleo, Whole30 + Keto)",mediterranean,136.62,39.22,24.16,200,920.8
Keto Double Chocolate Chip Mug Cake,american,31.43,89.21,79.36,200,1196.8
Mango Popsicles,american,32.87,104.56,62.57,200,1112.85
Keto pizza,italian,76.68,68.17,55.15,200,1075.75
Keto Tortillas,mexican,48.58,57.17,94.25,200,1271.25
Paleo Vegan Chocolate Chia Seed Pudding,british,43.36,105.19,51.45,200,1057.25
Keto Roti,american,57.51,107.68,34.81,200,974.05
Keto Onigiri,nordic,69.09,39.43,91.48,200,1257.4
Keto chili,american,131.99,38.5,29.51,200,947.55
Keto Hashbrowns,american,77.63,38.53,83.84,200,1219.2
Keto Meatballs,american,133.06,14.22,52.73,200,1063.69
Fat Burning Deviled Eggs,mediterranean,65.25,26.32,108.43,200,1342.15
Keto Chia Pudding,british,75.23,83.97,40.79,200,1003.91
Keto hamburger hash,american,126.67,21.34,51.99,200,1059.95
Keto Pizza Crust,italian,84.73,45.66,69.61,200,1148.05
Lemonade Chicken,american,171.37,8.58,20.05,200,900.25
Keto Avocado Dip,caribbean,16.92,91.94,91.14,200,1255.7
Coconut Macaroons,french,15.71,100.31,83.97,200,1219.81
Keto Chicken Parmesan,french,98.46,15.39,86.15,200,1230.75
Keto Cauliflower Gratin,french,49.74,51.05,99.21,200,1296.05
Keto Potato Salad,american,24.65,100.61,74.75,200,1173.79
Keto Fried Fish,south east asian,120.09,21.96,57.95,200,1089.75
Keto taco shells,mexican,59.41,62.01,78.58,200,1192.9
Keto Caesar Salad,american,66.35,38.7,94.95,200,1274.75
Keto Salad recipes,american,65.75,42.67,91.58,200,1257.9
Keto Mozzarella Sticks,italian,94.17,22.72,83.11,200,1215.55
Keto Mug Cake,american,28.47,126.91,44.63,200,1023.19
Keto Pizza with Pepperoni,italian,57.14,73.75,69.11,200,1145.55
Keto Cocoa Mug Cake,american,45.86,35.35,118.79,200,1393.95
Keto 90 second bread,french,56.99,41.82,101.19,200,1305.95
Filipino Chicken Adobo,asian,70.02,52.27,77.71,200,1188.55
Keto Cauliflower Hash Browns,american,75.78,30.44,93.78,200,1268.9
Keto Parmesan Roasted Broccoli,british,69.31,39.62,91.08,200,1255.44
Keto Low Carb Tortillas,mexican,56.91,51.67,91.41,200,1257.01
Classic Pub Goulash (Keto),american,95.39,48.73,55.87,200,1079.31
Keto lemon mug cake,british,34.79,79.97,85.24,200,1226.2
Collagen Keto Chocolate Mousse,american,30.86,99.72,69.42,200,1147.1
Keto Brussel Sprouts Casserole,italian,59.4,79.81,60.78,200,1103.86
Keto Parmesan Cauliflower Risotto,italian,41.25,55.64,103.11,200,1315.55
Keto Guacamole Egg Stacks,american,56.12,56.69,87.19,200,1235.95
Garlic Parmesan Keto Croutons,italian,44.18,71.44,84.38,200,1221.9
Savory Keto Cauliflower Mash,british,45.19,114.26,40.55,200,1002.75
Keto Neapolitan Chia Pudding,british,36.01,99.52,64.47,200,1122.35
Keto Lemon Garlic Shrimp,mediterranean,130.72,14.18,55.1,200,1075.5
Keto Classic Salad Recipe,american,72.18,67.21,60.61,200,1103.05
Easy Keto Berry Pavlova,eastern europe,32.87,69.72,97.41,200,1287.05
Easy Keto Sesame Broccoli,chinese,41.95,82.59,75.46,200,1177.3
Crunchy Keto Pita Chips,middle eastern,62.48,37.97,99.55,200,1297.75
Soft Keto Tortilla Recipe,mexican,50.5,63.33,86.17,200,1230.85
Keto Cheesy Shrimp Fritters,south east asian,111.7,15.29,73.01,200,1165.05
Keto Cauliflower Pepper Soup,american,25.54,49.52,124.94,200,1424.7
Keto Spaghetti Squash Carbonara,italian,60.49,53.34,86.17,200,1230.85
NSNG Keto Salmon Patties,nordic,113.27,20.1,66.63,200,1133.15
Keto Tuna Fish Salad,american,101.51,46.02,52.47,200,1062.35
Keto Bacon and Roasted Cabbage,american,43.17,58.67,98.16,200,1290.8
Keto Cauliflower Spanish Rice,mediterranean,24.66,87.29,88.05,200,1240.25
Keto Eggplant Burgers Recipe,french,58.96,69.22,71.83,200,1159.19
Keto Creamy Broccoli Soup,italian,58.08,126.36,15.56,200,877.8
Keto Chicken Stir-Fry,chinese,136.23,39.11,24.66,200,923.3
Keto Egg Foo Young,chinese,80.97,48.67,70.37,200,1151.89
Keto Strawberry Mini Clafoutis,french,33.09,60.63,106.28,200,1331.4
Cinnamon Keto Mug Cake,british,37.64,70.32,92.03,200,1260.11
Roasted Keto Cauliflower Mash,british,29.85,88.52,81.63,200,1208.15
Crunchy Keto Salad Toppers,american,42.94,36.07,120.99,200,1404.95
Keto Cauliflower Rice Stuffing,south american,57.9,68.21,73.9,200,1169.54
Keto Crab Stuffed Avocado,american,56.79,33.87,109.34,200,1346.7
Keto Avocado Deviled Eggs,mexican,74.85,32.88,92.27,200,1261.35
Keto Mashed Cauliflower with Cheese,american,41.46,89.5,69.04,200,1145.2
Keto Baked Chicken Fajitas,mexican,123.23,34.27,42.5,200,1012.5
Keto Berry Mug Cake,british,32.91,64.1,102.99,200,1314.95
KETO Egg and Ham Soup,american,98.94,35.57,65.48,200,1127.36
Keto Shrimp Stir-Fry,chinese,124.63,48.75,26.62,200,933.1
5 Minute Keto Pizza recipes,italian,67.41,53.8,78.79,200,1193.95
Steak with Keto Mushroom Stroganoff,eastern europe,64.76,22.93,112.31,200,1361.55
PERFECT KETO CAULIFLOWER PIZZA CRUST,italian,69.09,91.34,39.57,200,997.85
Low Carb Keto Tasty Buns,british,65.31,22.13,112.56,200,1362.8
Keto Roasted Eggplant Dip Recipe,mediterranean,28.49,130.87,40.64,200,1003.2
Keto - friendly Chocolate Mousse recipes,british,25.08,85.49,89.43,200,1247.15
Parmesan Garlic Keto-Friendly Zoodles,italian,34.31,46.24,119.44,200,1397.16
Easy Keto Taco Stuffed Avocados,mexican,49.03,41.05,109.92,200,1349.6
Keto Chia Pudding with Almond & Cinnamon,british,40.01,67.78,92.22,200,1261.14
Keto Stuffed Pork Chops recipes,american,120.26,13.72,66.02,200,1130.1
Keto Low Carb Cauliflower Pizza,italian,100.64,31.36,68,200,1140
Easy Keto Creamed Spinach recipes,french,57.44,41.25,101.31,200,1306.55
Keto Friendly Chocolate Mug Cake,american,130.95,34.24,34.81,200,974.05
Keto Creamy Spinach Egg Casserole,italian,54.23,32.22,113.55,200,1367.75
"Avocado Yogurt Dip {Vegetarian, Keto}",american,35.3,73.93,90.77,200,1253.85
Keto Lemon Mug Cake Recipe,american,51.32,84.76,63.92,200,1119.6
Philly Cheesesteak Keto Roll recipes,american,78.2,19.73,102.07,200,1310.35
Keto Cilantro Lime Cauliflower Rice,mediterranean,33.57,95.73,70.71,200,1153.59
Keto Chicken Skewers with Rustic Vegetables,mediterranean,118.46,19.56,61.98,200,1109.9
EZ Truckers Chili (Keto Style),american,107.98,68.85,23.17,200,915.85
Texas Style Keto Venison Chili,american,114.13,49.05,36.83,200,984.19
Sara Louise's Keto Falafel Balls,middle eastern,60.05,49.84,90.11,200,1250.55
Paleo/Keto Greek Cabbage with Bacon,mediterranean,39.44,107.97,52.58,200,1062.86
One-Pan Keto Shrimp and Asparagus,british,96.7,26.45,76.84,200,1184.16
"AIP Italian Burgers Recipe [Paleo, Keto]",nordic,106.17,26.85,66.98,200,1134.9
KETO Chicken with sundried tomato and cream,american,55.41,23.11,121.48,200,1407.4
Easy Keto Pork and Cabbage Casserole,nordic,136.07,34.54,29.4,200,947.04
Spinach and Artichoke Keto Egg Bake,mediterranean,86.39,49.62,63.99,200,1119.95
Keto Overnight Oats with Coconut and Blueberries,french,50.89,52.27,96.84,200,1284.2
The Best Keto Mashed Cauliflower Recipe,american,37.28,92.76,69.96,200,1149.8
"Keto Jalapeno Poppers | Cheesy, Bacon Goodness",french,73.3,23.59,103.12,200,1315.64
Priya’s #Keto Baked Cauliflower recipes,american,42.31,128.32,29.37,200,946.85
Keto Chicken and Vegetables Stir Fry,chinese,107.97,31.27,60.76,200,1103.8
Keto Beef and Broccoli Stir Fry,chinese,94.05,30,75.95,200,1179.75
Sara Louise's Keto Zucchini Soup,mediterranean,40.98,110.27,48.75,200,1043.75
Healthy Keto No-Cook Bento Lunchbox,british,99.8,24.3,75.89,200,1179.41
Keto 3 Bean Salad - Low Carb,american,42.8,69.5,87.7,200,1238.5
Keto Low Carb Beef and Broccoli,mediterranean,87.39,45.47,67.14,200,1135.7
Coconut Flour Chocolate Keto Mug Cake,british,40.63,74.19,85.19,200,1225.99
Keto Chocolate Cake in a Mug recipes,british,39.02,45.9,115.07,200,1375.31
No Eggs! Keto Mini Pizzas recipes,italian,73.73,86.84,39.43,200,997.15
Sara Louise's Keto Beef and Broccoli,british,99.79,55.22,44.98,200,1024.86
Keto Pesto Shrimp Skewers - Low Carb,italian,44.29,42.85,112.86,200,1364.3
Keto Mushroom and Bok Choy Stir-Fry,chinese,37.07,56.8,106.14,200,1330.74
Air Fryer Keto Onion Rings Recipe,american,75.06,60.58,64.36,200,1121.8
"Raspberry Almond Chia Pudding | Keto, Vegan",british,74.32,79.19,46.49,200,1032.45
Keto Single Serve Chocolate Lava Cake,american,25.32,112.23,62.45,200,1112.25
"Tuna Omelette - Low Carb, Keto, GF",french,97.52,19.13,83.35,200,1216.75
Keto Spaghetti Squash Primavera - Low Carb,italian,50.04,50.46,99.5,200,1297.5
One Minute Keto Chocolate Mug Cake,american,27.94,81.67,90.4,200,1252.04
Keto Sushi Smoked Salmon Roll-Ups,nordic,79.11,22.7,98.18,200,1290.86
Asian Inspired Keto Pork Chops recipes,chinese,129.34,14.34,56.32,200,1081.6
5 Minute Keto Egg Drop Soup recipes,chinese,69.39,46.72,83.89,200,1219.45
Keto Chipotle Red Pepper Cheese Dip,south american,25.82,85.48,88.69,200,1243.41
Tzatziki: Indian Style {Low Carb and Keto},mediterranean,84.69,85.38,29.93,200,949.65
Sara Louise's Keto Roasted Red Peppers,italian,21.39,129.73,48.88,200,1044.4
Mexican Mocha Chia Seed Pudding (Keto),british,37.58,95.71,66.71,200,1133.55
Keto Teriyaki Turkey Rice Bowl Recipe,japanese,92.15,48.38,59.47,200,1097.35
3 Ingredient Keto Peanut Butter Mug Cake,british,59.77,40.68,99.55,200,1297.75
Sara Louise’s Keto First Spanish Omelette,mediterranean,74.07,34.04,91.89,200,1259.45
Okra In Spiced Yogurt {Keto Low Carb},indian,62.6,65.62,71.79,200,1158.99
Instant Pot® Keto Chicken and Kale Stew,french,101.36,41.24,57.4,200,1087
Easy Keto Lava Cake-Singe Serve,american,31.37,78.32,90.31,200,1251.55
"Spaghetti Squash Chow Mein | Keto, Paleo",italian,131.92,32.12,35.96,200,979.8
BEST KETO ITALIAN RAGÚ aka BOLOGNES,italian,107.6,27.54,64.86,200,1124.3
Vegetable beef soup keto friendly recipe,french,106.44,50.05,43.51,200,1017.55
SUGAR FREE KETO NEW YORK BAKED CHEESECAKE,american,56.41,34.87,108.71,200,1343.51
Keto Eggplant Burgers Recipe (Chinese Qiezi He),chinese,74.42,53.67,71.91,200,1159.55
Low Carb & Keto-friendly Baked Onion Rings,american,75.31,63.11,61.58,200,1107.9
"Keto Beef Tips with Mushrooms, Onions, and Gravy",french,107.79,21.34,70.86,200,1154.26
Keto Vegan Roasted Garlic Smashed Cauliflower | Blog,american,28.66,73.8,97.55,200,1287.79
Raw Vegan Keto Strawberry Crumble (sweetener-free),american,22.86,85.3,91.84,200,1259.2
"Whole30 + Paleo Frittata {Dairy-Free, GF, Keto}",italian,85.05,34.49,80.46,200,1202.3
[DRESSING INGREDIENTS MISSING] Keto Mediterranean Broccoli Salad,mediterranean,44.38,114.2,41.42,200,1007.1
"Chinese Chicken and Broccoli | Keto, Low Calorie",chinese,136.17,36.88,26.94,200,934.66
"Leftover Turkey Stir-fry (Paleo, Whole30 + Keto)",american,131.75,36.49,31.77,200,958.89
Keto Chocolate Peanut Butter Mug Cake recipes,american,29.33,74.83,95.83,200,1279.11
"Paleo Chicken Noodle Soup Recipe [AIP, Keto]",asian,79.29,46.87,73.84,200,1169.2
Southern Green Beans {Keto Friendly/Low Carb},american,27.94,108.41,63.66,200,1118.34
"Flourless Pumpkin Mug Cake (Keto, Low Carb)",american,36.45,82.46,81.08,200,1205.36
"Lemon Garlic Baked Shrimp Recipe [Paleo, Keto]",mediterranean,123.95,39.39,36.67,200,983.39
"Sesame Ginger Fish Cakes (Paleo, Whole30 + Keto)",south east asian,102.04,52.04,45.92,200,1029.6
"Paleo Kimchi Beef Stir-Fry (Whole30, Keto)",american,92.78,63.5,43.72,200,1018.6
Easy Keto Shrimp Scampi - Low Carb & G,chinese,111.76,34.38,53.86,200,1069.3
"Keto Shrimp Fried Rice [Grain-free, Paleo]",chinese,79.48,31.97,88.54,200,1242.66
"5-Min Prosciutto Avocado Fat Bomb Recipe [Paleo, Keto]",italian,85.07,41.73,73.2,200,1166
Keto Lo Mein - Low Carb & Gluten Free,chinese,67.32,82.74,49.94,200,1049.7
Keto Grain-free Bacon and Shrimp Risotto recipes,italian,93.84,55.07,51.09,200,1055.45
Crock-Pot Beef Stew {Keto/Low Carb},american,104.18,50.54,45.29,200,1026.49
"Fish and Leek Saute Recipe [Paleo, AIP, Keto]",mediterranean,121.78,34.11,44.12,200,1020.64
"Paleo Egg Frittata Muffins Recipe [Keto, Dairy-Free]",american,79.09,27.54,93.36,200,1266.76
"Keto Cauliflower Hash Browns (Grain Free, Low Carb)",french,95.95,41.2,62.85,200,1114.25
"Keto Cauliflower Pizza Crust | Thin, Crispy, Dairy Free",italian,52.64,87.14,60.21,200,1101.01
Shan's Wilted Spinach Salad (Keto/Low carb friendly),american,60,81.7,58.31,200,1091.59
Keto Collard Greens with Burst Cherry Tomatoes [Recipe] recipes,south american,55.52,65.58,78.9,200,1194.5
Thai Chicken Wings - Peak Gai Yang - Keto - LCHF,south east asian,40.89,91.36,67.76,200,1138.84
"Garlic Oregano Olive Tapenade Recipe [Paleo, AIP, Keto]",mediterranean,74.6,31.83,93.57,200,1267.85
Easy Keto Shrimp Scampi - Low Carb & Gluten Free,south east asian,111.76,34.38,53.86,200,1069.3
Broccoli Kale Pizza Crust Recipe | Crispy Keto Pizza Crust,italian,59.87,89.95,50.18,200,1050.9
Sara Louise's Keto Herbed Mustard Cod With Cauliflower Rice,mediterranean,130.41,15.88,53.71,200,1068.55
"Dijon Chicken Drummies - Low Carb, Gluten-Free, Keto recipes",french,55.31,53.57,91.12,200,1255.6
"Keto Cauliflower Fried Rice Recipe, Low Calorie, Low Carb",chinese,50.22,89.55,60.23,200,1101.15
"Oven Roasted Garlic Parmesan Cabbage Steaks (Keto, GAPS, Low-Carb)",american,42.03,51.49,106.48,200,1332.4
Interested in the keto diet? Try this noodle bowl | CBC News,asian,51.5,118.01,30.5,200,952.54
Keto Dinner rolls - egg and dairy free! (none of that fathead here),american,88.99,37.51,73.49,200,1167.41
Pork Curry over Cauliflower Rice | Low Carb | Keto | Gluten Free,south east asian,111.4,40.9,47.7,200,1038.5
Creamy Chicken Alfredo Zoodles with Mushrooms – Low Carb Keto Ease! recipes,french,67.92,36.93,95.15,200,1275.75
Large Family Keto Instant Pot Beef Stew (Low Carb/THM S),french,136.2,34.44,29.36,200,946.8
Pumpkin in Browned Butter – aka Refried Pumpkin | Keto Allergy KISS Day 2 recipes,american,28.17,64.54,107.29,200,1336.45
Indian Coconut Curry Salmon,nordic,74.46,47.24,78.29,200,1191.41
Indian Coconut Curry Salmon,nordic,74.46,47.24,78.29,200,1191.41
Loup de Mer (Mediterranean Seabass),mediterranean,162.93,22.94,14.13,200,870.65
Mediterranean Spiced Cucumber Medallions,mediterranean,72.94,57.14,69.92,200,1149.6
Loup De Mer (Mediterranean Seabass),mediterranean,161.84,24.16,14.01,200,870.09
Grilled Tofu with a Mediterranean Chopped Salad,asian,83.85,40.4,75.75,200,1178.75
Mediterranean Olive Hummus,mediterranean,32.04,97.08,70.89,200,1154.49
Mediterranean Wrap,mediterranean,130.74,30.74,38.52,200,992.6
Mediterranean Wrap,mediterranean,31.2,80.19,88.61,200,1243.05
Homemade Labneh,mexican,51.99,25.73,122.29,200,1411.49
Mediterranean Tuna,mediterranean,99.04,40.3,60.67,200,1103.39
Herby Mediterranean Fish with Wilted Greens & Mushrooms,mediterranean,85.15,51.45,63.4,200,1117
Mediterranean Guacamole,mediterranean,16.68,75.97,107.35,200,1336.75
Mediterranean Cod,mediterranean,114.56,51.85,33.59,200,967.95
Mediterranean Flounder,mediterranean,114.63,51.06,34.31,200,971.55
Mediterranean Eggs,mediterranean,78.38,54.57,67.05,200,1135.25
Orecchiette with Mixed Greens and Goat Cheese,italian,41.18,143.49,15.33,200,876.65
Mediterranean-Stuffed Chicken,mediterranean,157.71,7.99,34.3,200,971.5
Mediterranean Bento Lunch,mediterranean,52.21,121.67,26.12,200,930.6
Mediterranean Fish Fillets,mediterranean,126.42,50.65,22.94,200,914.74
Grilled Mediterranean Snapper,mediterranean,130.78,31.61,37.6,200,987.96
Mediterranean Salmon Skewers,nordic,104.02,19.13,76.85,200,1184.25
Mediterranean Zucchini Hash,mediterranean,28.4,147.36,24.24,200,921.2
Mediterranean Pasta Salad,mediterranean,61.81,92.6,45.59,200,1027.95
Mediterranean Baked Cod,mediterranean,177.51,15.17,7.32,200,836.6
Mediterranean prawn salad,mediterranean,51.48,57.75,90.77,200,1253.85
